HDI_rank,Human_developpement_level,country,Intentional_homicides_per_100000_people_2004,Prison_population_Total_2007,Prison_population_per_100000_2007,Prison_population_Female_%_of_total,Year_in_which_countries_have_partially_or_completely_abolished_the_death_penalty
1,HIGH ,Iceland,1.0,119.0,40.0,6.0,1928.0
2,HIGH ,Norway,0.8,3048.0,66.0,5.0,1979.0
3,HIGH ,Australia,1.3,25353.0,126.0,7.0,1985.0
4,HIGH ,Canada,1.9,34096.0,107.0,5.0,1998.0
5,HIGH ,Ireland,0.9,3080.0,72.0,4.0,1990.0
6,HIGH ,Sweden,2.4,7450.0,82.0,5.0,1972.0
7,HIGH ,Switzerland,2.9,6111.0,83.0,5.0,1992.0
8,HIGH ,Japan,0.5,79055.0,62.0,6.0,
9,HIGH ,Netherlands,1.0,21013.0,128.0,9.0,1982.0
10,HIGH ,France,1.6,52009.0,85.0,4.0,1981.0
11,HIGH ,Finland,2.8,3954.0,75.0,6.0,1972.0
12,HIGH ,United States,5.6,2186230.0,738.0,9.0,
13,HIGH ,Spain,1.2,64215.0,145.0,8.0,1995.0
14,HIGH ,Denmark,0.8,4198.0,77.0,5.0,1978.0
15,HIGH ,Austria,0.8,8766.0,105.0,5.0,1968.0
16,HIGH ,United Kingdom,2.1,88458.0,124.0,6.0,1998.0
17,HIGH ,Belgium,1.5,9597.0,91.0,4.0,1996.0
18,HIGH ,Luxembourg,0.9,768.0,167.0,5.0,1979.0
19,HIGH ,New Zealand,1.3,7620.0,186.0,6.0,1989.0
20,HIGH ,Italy,1.2,61721.0,104.0,5.0,1994.0
21,HIGH ,"Hong Kong, China (SAR)",0.6,11580.0,168.0,20.0,
22,HIGH ,Germany,1.0,78581.0,95.0,5.0,1987.0
23,HIGH ,Israel,2.6,13909.0,209.0,2.0,1954.0
24,HIGH ,Greece,0.8,9984.0,90.0,6.0,2004.0
25,HIGH ,Singapore,0.5,15038.0,350.0,11.0,
26,HIGH ,Korea (Republic of),2.2,45882.0,97.0,5.0,
27,HIGH ,Slovenia,1.5,1301.0,65.0,4.0,1989.0
28,HIGH ,Cyprus,1.7,580.0,76.0,3.0,2002.0
29,HIGH ,Portugal,1.8,12870.0,121.0,7.0,1976.0
30,HIGH ,Brunei Darussalam,1.4,529.0,140.0,8.0,1957.0
31,HIGH ,Barbados,7.5,997.0,367.0,5.0,
32,HIGH ,Czech Republic,2.2,18950.0,185.0,5.0,1990.0
33,HIGH ,Kuwait,1.0,3500.0,130.0,15.0,
34,HIGH ,Malta,1.8,352.0,86.0,4.0,2000.0
35,HIGH ,Qatar,0.8,465.0,55.0,1.0,
36,HIGH ,Hungary,2.1,15720.0,156.0,6.0,1990.0
37,HIGH ,Poland,1.6,87901.0,230.0,3.0,1997.0
38,HIGH ,Argentina,9.5,54472.0,140.0,5.0,1984.0
39,HIGH ,United Arab Emirates,0.6,8927.0,288.0,11.0,
40,HIGH ,Chile,1.7,39916.0,240.0,7.0,2001.0
41,HIGH ,Bahrain,1.0,701.0,95.0,,
42,HIGH ,Slovakia,2.3,8493.0,158.0,5.0,1990.0
43,HIGH ,Lithuania,9.4,8124.0,240.0,3.0,1998.0
44,HIGH ,Estonia,6.8,4463.0,333.0,4.0,1998.0
45,HIGH ,Latvia,8.6,6676.0,292.0,6.0,1999.0
46,HIGH ,Uruguay,5.6,6947.0,193.0,6.0,1907.0
47,HIGH ,Croatia,1.8,3594.0,81.0,5.0,1990.0
48,HIGH ,Costa Rica,6.2,7782.0,181.0,7.0,1877.0
49,HIGH ,Bahamas,15.9,1500.0,462.0,2.0,
50,HIGH ,Seychelles,7.4,193.0,239.0,8.0,1993.0
51,HIGH ,Cuba,,55000.0,487.0,,
52,HIGH ,Mexico,13.0,214450.0,196.0,5.0,2005.0
53,HIGH ,Bulgaria,3.1,11436.0,148.0,3.0,1998.0
54,HIGH ,Saint Kitts and Nevis,4.8,214.0,547.0,1.0,
55,HIGH ,Tonga,2.0,128.0,114.0,6.0,1982.0
56,HIGH ,Libyan Arab Jamahiriya,,11790.0,207.0,3.0,
57,HIGH ,Antigua and Barbuda,,176.0,225.0,3.0,
58,HIGH ,Oman,0.6,2020.0,81.0,5.0,
59,HIGH ,Trinidad and Tobago,,3851.0,296.0,3.0,
60,HIGH ,Romania,2.4,35429.0,164.0,5.0,1989.0
61,HIGH ,Saudi Arabia,0.9,28612.0,132.0,6.0,
62,HIGH ,Panama,9.6,11649.0,364.0,7.0,1922.0
63,HIGH ,Malaysia,2.4,35644.0,141.0,7.0,
64,HIGH ,Belarus,8.3,41583.0,426.0,8.0,
65,HIGH ,Mauritius,2.5,2464.0,205.0,6.0,1995.0
66,HIGH ,Bosnia and Herzegovina,,1526.0,59.0,3.0,2001.0
67,HIGH ,Russian Federation,19.9,869814.0,611.0,7.0,1999.0
68,HIGH ,Albania,5.7,3491.0,111.0,3.0,2007.0
69,HIGH ,Macedonia (TFYR),2.3,2026.0,99.0,2.0,1991.0
70,HIGH ,Brazil,,361402.0,191.0,6.0,1979.0
71,MEDIUM,Dominica,2.8,289.0,419.0,,
72,MEDIUM,Saint Lucia,,503.0,303.0,2.0,
